run_id,configuration_id,vertices,edge_function_id,edges,rank,clique_bipartiteness,clique_volume,clique_runtime,approx_diffusion_bipartiteness,approx_diffusion_volume,approx_diffusion_runtime
179,18,90,2,270,3,0.04230769230769231,780,0.15354442596435547,0.02962962962962963,810,2.5843663215637207
180,18,90,2,270,3,0.044444444444444446,810,0.1574854850769043,0.027160493827160494,810,2.0000052452087402
181,19,100,1,400,3,0.056666666666666664,1200,0.267169713973999,0.045,1200,2.816530704498291
182,19,100,1,400,3,0.06228956228956229,1188,0.25342416763305664,0.055,1200,1.9499106407165527
183,19,100,1,400,3,0.07508532423208192,1172,0.2504312992095947,0.043333333333333335,1200,1.4957554340362549
184,19,100,1,400,3,0.06166666666666667,1200,0.2512519359588623,0.05,1200,2.762442111968994
185,19,100,1,400,3,0.0662751677852349,1192,0.24917244911193848,0.05,1200,2.7435288429260254
186,19,100,1,400,3,0.06,1200,0.25183844566345215,0.055,1200,2.500812530517578
187,19,100,1,400,3,0.05475989890480202,1187,0.2524690628051758,0.041666666666666664,1200,1.8326005935668945
188,19,100,1,400,3,0.06166666666666667,1200,0.25068140029907227,0.045,1200,2.5252115726470947
189,19,100,1,400,3,0.05333333333333334,1200,0.2511100769042969,0.05,1200,2.055683135986328
190,19,100,1,400,3,0.05,1200,0.2515237331390381,0.043333333333333335,1200,1.9040441513061523
191,20,100,2,300,3,0.0410958904109589,876,0.1936323642730713,0.03333333333333333,900,1.4308061599731445
192,20,100,2,300,3,0.03777777777777778,900,0.1938340663909912,0.03111111111111111,900,2.883986711502075
193,20,100,2,300,3,0.05889145496535797,866,0.1936478614807129,0.03111111111111111,900,1.5061850547790527
194,20,100,2,300,3,0.06444444444444444,900,0.1938793659210205,0.05333333333333334,900,1.47877836227417
195,20,100,2,300,3,0.04888888888888889,900,0.19420194625854492,0.04,900,1.8353590965270996
196,20,100,2,300,3,0.03945885005636979,887,0.19338035583496094,0.028888888888888888,900,1.8731482028961182
197,20,100,2,300,3,0.051111111111111114,900,0.19288158416748047,0.04666666666666667,900,2.0065360069274902
198,20,100,2,300,3,0.035555555555555556,900,0.1960766315460205,0.03111111111111111,900,1.6573288440704346
199,20,100,2,300,3,0.05333333333333334,900,0.194427490234375,0.03777777777777778,900,1.3008673191070557
200,20,100,2,300,3,0.04666666666666667,900,0.1966559886932373,0.03333333333333333,900,2.671907901763916
